genres,movie_id,original_title,plot,cast
"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang', 'Michelle Rodriguez', 'Giovanni Ribisi']"
"['Adventure', 'Fantasy', 'Action']",285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Chow Yun-fat', 'Bill Nighy']"
"['Action', 'Adventure', 'Crime']",206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux', 'Ralph Fiennes', 'Monica Bellucci', 'Ben Whishaw']"
"['Action', 'Crime', 'Drama', 'Thriller']",49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy', 'Marion Cotillard']"
"['Action', 'Adventure', 'Science Fiction']",49529,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Willem Dafoe', 'Thomas Haden Church', 'Mark Strong']"
"['Fantasy', 'Action', 'Adventure']",559,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Thomas Haden Church', 'Topher Grace', 'Bryce Dallas Howard']"
"['Animation', 'Family']",38757,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","['Zachary Levi', 'Mandy Moore', 'Donna Murphy', 'Ron Perlman', 'M.C. Gainey', 'Jeffrey Tambor']"
"['Action', 'Adventure', 'Science Fiction']",99861,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner']"
"['Adventure', 'Fantasy', 'Family']",767,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Tom Felton', 'Michael Gambon', 'Jim Broadbent']"
"['Action', 'Adventure', 'Fantasy']",209112,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","['Ben Affleck', 'Henry Cavill', 'Gal Gadot', 'Amy Adams', 'Jesse Eisenberg', 'Diane Lane']"
"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",1452,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.","['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth', 'James Marsden', 'Parker Posey', 'Frank Langella']"
"['Adventure', 'Action', 'Thriller', 'Crime']",10764,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Judi Dench', 'Giancarlo Giannini', 'Gemma Arterton']"
"['Adventure', 'Fantasy', 'Action']",58,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy', 'Jack Davenport']"
"['Action', 'Adventure', 'Western']",57201,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","['Johnny Depp', 'Armie Hammer', 'William Fichtner', 'Helena Bonham Carter', 'James Badge Dale', 'Tom Wilkinson']"
"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",49521,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Kevin Costner', 'Diane Lane', 'Russell Crowe']"
"['Adventure', 'Family', 'Fantasy']",2454,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.","['Ben Barnes', 'William Moseley', 'Anna Popplewell', 'Skandar Keynes', 'Georgie Henley', 'Sergio Castellitto']"
"['Science Fiction', 'Action', 'Adventure']",24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner']"
"['Adventure', 'Action', 'Fantasy']",1865,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Kevin McNally', 'Geoffrey Rush', 'Sam Claflin']"
"['Action', 'Comedy', 'Science Fiction']",41154,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.","['Will Smith', 'Tommy Lee Jones', 'Josh Brolin', 'Michael Stuhlbarg', 'Emma Thompson', 'Jemaine Clement']"
"['Action', 'Adventure', 'Fantasy']",122917,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.","['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Ken Stott', 'Graham McTavish', 'William Kircher']"
"['Action', 'Adventure', 'Fantasy']",1930,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","['Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Denis Leary', 'Campbell Scott', 'Irrfan Khan']"
"['Action', 'Adventure']",20662,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","['Russell Crowe', 'Cate Blanchett', 'Max von Sydow', 'William Hurt', 'Mark Strong', 'Oscar Isaac']"
"['Adventure', 'Fantasy']",57158,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.","['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Ken Stott', 'Graham McTavish', 'William Kircher']"
"['Adventure', 'Fantasy']",2268,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.","['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig', 'Sam Elliott', 'Eva Green', 'Freddie Highmore']"
"['Adventure', 'Drama', 'Action']",254,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann', 'Colin Hanks', 'Andy Serkis']"
"['Drama', 'Romance', 'Thriller']",597,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.","['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher', 'Billy Zane', 'Kathy Bates', 'Gloria Stuart']"
"['Adventure', 'Action', 'Science Fiction']",271110,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle']"
"['Thriller', 'Action', 'Adventure', 'Science Fiction']",44833,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.","['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna', 'Brooklyn Decker', 'Tadanobu Asano', 'Liam Neeson']"
"['Action', 'Adventure', 'Science Fiction', 'Thriller']",135397,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan', ""Vincent D'Onofrio"", 'Nick Robinson', 'Ty Simpkins']"
"['Action', 'Adventure', 'Thriller']",37724,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.","['Daniel Craig', 'Judi Dench', 'Javier Bardem', 'Ralph Fiennes', 'Naomie Harris', 'Bérénice Marlohe']"
"['Action', 'Adventure', 'Fantasy']",558,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.","['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Alfred Molina', 'Rosemary Harris', 'Donna Murphy']"
"['Action', 'Adventure', 'Science Fiction']",68721,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Jon Favreau']"
"['Family', 'Fantasy', 'Adventure']",12155,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.","['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover', 'Marton Csokas']"
"['Adventure', 'Action', 'Science Fiction', 'Thriller']",36668,X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.","['Hugh Jackman', 'Halle Berry', 'Ian McKellen', 'Patrick Stewart', 'Famke Janssen', 'Anna Paquin']"
"['Animation', 'Family']",62211,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,"['Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren', 'Noah Johnston', 'Peter Sohn']"
"['Science Fiction', 'Action', 'Adventure']",8373,Transformers: Revenge of the Fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Rainn Wilson', 'Tyrese Gibson', 'John Turturro']"
"['Science Fiction', 'Action', 'Adventure']",91314,Transformers: Age of Extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.","['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer', 'Nicola Peltz', 'Jack Reynor', 'Titus Welliver']"
"['Fantasy', 'Adventure', 'Family']",68728,Oz: The Great and Powerful,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.","['James Franco', 'Mila Kunis', 'Rachel Weisz', 'Michelle Williams', 'Zach Braff', 'Bill Cobbs']"
"['Action', 'Adventure', 'Fantasy']",102382,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.","['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Dane DeHaan', 'Campbell Scott', 'Embeth Davidtz']"
"['Adventure', 'Action', 'Science Fiction']",20526,TRON: Legacy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.","['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde', 'Bruce Boxleitner', 'Yaya DaCosta', 'Serinda Swan']"
"['Animation', 'Family', 'Adventure', 'Comedy']",49013,Cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine', 'Emily Mortimer', 'John Turturro', 'Eddie Izzard']"
"['Adventure', 'Action', 'Thriller', 'Science Fiction']",44912,Green Lantern,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.","['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard', 'Tim Robbins', 'Mark Strong', 'Temuera Morrison']"
"['Animation', 'Family', 'Comedy']",10193,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.","['Tom Hanks', 'Tim Allen', 'Ned Beatty', 'Joan Cusack', 'Michael Keaton', 'Whoopi Goldberg']"
"['Action', 'Science Fiction', 'Thriller']",534,Terminator Salvation,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.","['Christian Bale', 'Sam Worthington', 'Anton Yelchin', 'Moon Bloodgood', 'Bryce Dallas Howard', 'Helena Bonham Carter']"
['Action'],168259,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris']"
"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",72190,World War Z,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.","['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove', 'Sterling Jerins', 'James Badge Dale', 'Elyes Gabel']"
"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",127585,X-Men: Days of Future Past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Halle Berry', 'Anna Paquin']"
"['Action', 'Adventure', 'Science Fiction']",54138,Star Trek Into Darkness,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.","['Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Karl Urban', 'Simon Pegg', 'John Cho']"
"['Action', 'Family', 'Fantasy']",81005,Jack the Giant Slayer,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.","['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor', 'Stanley Tucci', 'Ian McShane', 'Eddie Marsan']"
"['Drama', 'Romance']",64682,The Great Gatsby,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.","['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan', 'Joel Edgerton', 'Elizabeth Debicki', 'Isla Fisher']"
"['Adventure', 'Fantasy', 'Action', 'Romance']",9543,Prince of Persia: The Sands of Time,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.","['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley', 'Alfred Molina', 'Steve Toussaint', 'Toby Kebbell']"
"['Action', 'Science Fiction', 'Adventure']",68726,Pacific Rim,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.","['Idris Elba', 'Charlie Hunnam', 'Charlie Day', 'Ron Perlman', 'Burn Gorman', 'Rinko Kikuchi']"
"['Action', 'Science Fiction', 'Adventure']",38356,Transformers: Dark of the Moon,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.","['Shia LaBeouf', 'John Malkovich', 'Ken Jeong', 'Frances McDormand', 'Josh Duhamel', 'Tyrese Gibson']"
"['Adventure', 'Action']",217,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.","['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf', 'Ray Winstone', 'Karen Allen', 'John Hurt']"
"['Adventure', 'Animation', 'Family']",105864,The Good Dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright', 'Frances McDormand', 'Maleah Nipay-Padilla', 'Ryan Teeple']"
"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",62177,Brave,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.","['Kelly Macdonald', 'Julie Walters', 'Billy Connolly', 'Emma Thompson', 'Kevin McKidd', 'Craig Ferguson']"
"['Action', 'Adventure', 'Science Fiction']",188927,Star Trek Beyond,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.","['Chris Pine', 'Zachary Quinto', 'Karl Urban', 'Simon Pegg', 'Zoe Saldana', 'John Cho']"
"['Animation', 'Family']",10681,WALL·E,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.","['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger', 'Kathy Najimy']"
"['Action', 'Comedy', 'Crime', 'Thriller']",5174,Rush Hour 3,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.","['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada', 'Max von Sydow', 'Yvan Attal', 'Roman Polanski']"
"['Action', 'Adventure', 'Science Fiction']",14161,2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.","['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor', 'Thandie Newton', 'Oliver Platt', 'Tom McCarthy']"
"['Animation', 'Drama']",17979,A Christmas Carol,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.","['Gary Oldman', 'Jim Carrey', 'Steve Valentine', 'Daryl Sabara', 'Sage Ryan', 'Amber Gainey Meade']"
"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",76757,Jupiter Ascending,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…","['Mila Kunis', 'Channing Tatum', 'Sean Bean', 'Eddie Redmayne', 'Douglas Booth', 'Tuppence Middleton']"
"['Action', 'Adventure']",258489,The Legend of Tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","['Alexander Skarsgård', 'Margot Robbie', 'Christoph Waltz', 'Samuel L. Jackson', 'Djimon Hounsou', 'Jim Broadbent']"
